Cap(theor-act): [  6.149e-04 -   6.152e-04 =  -3.698e-07] | Step Loss (=Cap/k_fit): [ -0.013] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0048 + -0.0000 + -0.0034 =    -0.0082] @ 2026-02-18 20:37:04.927971 @ Step [7.8174e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.142e-04 =   6.372e-07] | Step Loss (=Cap/k_fit): [  0.022] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0083 + -0.0000 +  0.0069 =    +0.0151] @ 2026-02-18 20:37:05.547112 @ Step [7.9687e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.140e-04 =   8.382e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0109 + -0.0000 +  0.0014 =    +0.0122] @ 2026-02-18 20:37:06.166805 @ Step [8.0912e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 + -0.0048 =    -0.0031] @ 2026-02-18 20:37:06.786701 @ Step [8.0603e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.147e-04 =   1.332e-07] | Step Loss (=Cap/k_fit): [  0.005] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0017 + -0.0000 +  0.0000 =    +0.0017] @ 2026-02-18 20:37:07.404981 @ Step [8.0776e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.146e-04 =   2.342e-07] | Step Loss (=Cap/k_fit): [  0.008] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0030 + -0.0000 +  0.0007 =    +0.0037] @ 2026-02-18 20:37:08.027236 @ Step [8.1149e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0028 =    -0.0049] @ 2026-02-18 20:37:08.653988 @ Step [8.0655e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.146e-04 =   2.342e-07] | Step Loss (=Cap/k_fit): [  0.008] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0030 + -0.0000 +  0.0028 =    +0.0058] @ 2026-02-18 20:37:09.292467 @ Step [8.1234e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.155e-04 =  -6.718e-07] | Step Loss (=Cap/k_fit): [ -0.023] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0087 + -0.0000 + -0.0062 =    -0.0149] @ 2026-02-18 20:37:09.917303 @ Step [7.9744e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.148e-04 =   3.322e-08] | Step Loss (=Cap/k_fit): [  0.001] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0004 + -0.0000 +  0.0048 =    +0.0052] @ 2026-02-18 20:37:10.547290 @ Step [8.0268e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.151e-04 =  -2.698e-07] | Step Loss (=Cap/k_fit): [ -0.009] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0035 + -0.0000 + -0.0021 =    -0.0056] @ 2026-02-18 20:37:11.164652 @ Step [7.9712e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 +  0.0007 =    -0.0015] @ 2026-02-18 20:37:11.787792 @ Step [7.9562e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.141e-04 =   7.382e-07] | Step Loss (=Cap/k_fit): [  0.025] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0096 + -0.0000 +  0.0062 =    +0.0158] @ 2026-02-18 20:37:12.418167 @ Step [8.1138e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.153e-04 =  -4.708e-07] | Step Loss (=Cap/k_fit): [ -0.016] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0061 + -0.0000 + -0.0083 =    -0.0144] @ 2026-02-18 20:37:13.045971 @ Step [7.9702e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.146e-04 =   2.342e-07] | Step Loss (=Cap/k_fit): [  0.008] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0030 + -0.0000 +  0.0048 =    +0.0078] @ 2026-02-18 20:37:13.665745 @ Step [8.0487e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.145e-04 =   3.352e-07] | Step Loss (=Cap/k_fit): [  0.011] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0043 + -0.0000 +  0.0007 =    +0.0050] @ 2026-02-18 20:37:14.297746 @ Step [8.0991e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0034 =    -0.0056] @ 2026-02-18 20:37:14.924334 @ Step [8.0428e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.155e-04 =  -6.718e-07] | Step Loss (=Cap/k_fit): [ -0.023] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0087 + -0.0000 + -0.0034 =    -0.0121] @ 2026-02-18 20:37:15.562767 @ Step [7.9214e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.140e-04 =   8.382e-07] | Step Loss (=Cap/k_fit): [  0.029] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0109 + -0.0000 +  0.0103 =    +0.0212] @ 2026-02-18 20:37:16.191013 @ Step [8.1331e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.154e-04 =  -5.708e-07] | Step Loss (=Cap/k_fit): [ -0.019] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0074 + -0.0000 + -0.0096 =    -0.0170] @ 2026-02-18 20:37:16.812000 @ Step [7.9629e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.154e-04 =  -5.708e-07] | Step Loss (=Cap/k_fit): [ -0.019] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0074 + -0.0000 +  0.0000 =    -0.0074] @ 2026-02-18 20:37:17.430296 @ Step [7.8889e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.148e-04 =   3.322e-08] | Step Loss (=Cap/k_fit): [  0.001] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0004 + -0.0000 +  0.0041 =    +0.0046] @ 2026-02-18 20:37:18.052315 @ Step [7.9344e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.156e-04 =  -7.728e-07] | Step Loss (=Cap/k_fit): [ -0.026] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0100 + -0.0000 + -0.0055 =    -0.0155] @ 2026-02-18 20:37:18.678525 @ Step [7.7792e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.148e-04 =   3.322e-08] | Step Loss (=Cap/k_fit): [  0.001] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0004 + -0.0000 +  0.0055 =    +0.0059] @ 2026-02-18 20:37:19.316754 @ Step [7.8385e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.146e-04 =   2.342e-07] | Step Loss (=Cap/k_fit): [  0.008] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0030 + -0.0000 +  0.0014 =    +0.0044] @ 2026-02-18 20:37:19.937153 @ Step [7.8826e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0028 =    -0.0049] @ 2026-02-18 20:37:20.567863 @ Step [7.8332e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.151e-04 =  -2.698e-07] | Step Loss (=Cap/k_fit): [ -0.009] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0035 + -0.0000 + -0.0007 =    -0.0042] @ 2026-02-18 20:37:21.183987 @ Step [7.7914e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.141e-04 =   7.382e-07] | Step Loss (=Cap/k_fit): [  0.025] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0096 + -0.0000 +  0.0069 =    +0.0165] @ 2026-02-18 20:37:21.805226 @ Step [7.9559e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.143e-04 =   5.362e-07] | Step Loss (=Cap/k_fit): [  0.018] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [ 0.0070 + -0.0000 + -0.0014 =    +0.0056] @ 2026-02-18 20:37:22.425469 @ Step [8.0117e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.150e-04 =  -1.688e-07] | Step Loss (=Cap/k_fit): [ -0.006] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0022 + -0.0000 + -0.0048 =    -0.0070] @ 2026-02-18 20:37:23.046892 @ Step [7.9416e-01/1.0000e+00]
Cap(theor-act): [  6.149e-04 -   6.149e-04 =  -6.778e-08] | Step Loss (=Cap/k_fit): [ -0.002] | Gains(P,I,D): [3.80e-01, 0.00e+00, 1.00e-01] | PID_Out(P+I+D): [-0.0009 + -0.0000 +  0.0007 =    -0.0002] @ 2026-02-18 20:37:23.669953 @ Step [7.9397e-01/1.0000e+00]
