>> note = "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

note =

    "20MHZ, 200mVpp, 100mVdc, time_const 30ms, sen 300uV rms, VDD 2.5, 2/12/2026; test scan 32 microsteps"

[LOG] goTo_fit (scan version): wait_time=10.0000 s
[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 193 points) : k1 = 8.242e-06, b1 = 1.648e-04
[LOG] SCAN_PART_2 (Backward 193 points): k2 = 8.164e-06, b2 = 1.655e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.203e-06, b_total = 1.652e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 3.410e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0416 steps
(7.437500, 2.260300e-04)
(7.468750, 2.265230e-04)
(7.500000, 2.267450e-04)
(7.531250, 2.266240e-04)
(7.562500, 2.265330e-04)
(7.593750, 2.269260e-04)
(7.625000, 2.273490e-04)
(7.656250, 2.272890e-04)
(7.687500, 2.279630e-04)
(7.718750, 2.288700e-04)
(7.750000, 2.290110e-04)
(7.781250, 2.293630e-04)
(7.812500, 2.301290e-04)
(7.843750, 2.302290e-04)
(7.875000, 2.305920e-04)
(7.906250, 2.313170e-04)
(7.937500, 2.310950e-04)
(7.968750, 2.310250e-04)
(8.000000, 2.312260e-04)
(8.000000, 2.310450e-04)
(7.968750, 2.310650e-04)
(7.937500, 2.311260e-04)
(7.906250, 2.303500e-04)
(7.875000, 2.304110e-04)
(7.843750, 2.299370e-04)
(7.812500, 2.301590e-04)
(7.781250, 2.294140e-04)
(7.750000, 2.287390e-04)
(7.718750, 2.281450e-04)
(7.687500, 2.281550e-04)
(7.656250, 2.275910e-04)
(7.625000, 2.267650e-04)
(7.593750, 2.268760e-04)
(7.562500, 2.264730e-04)
(7.531250, 2.266840e-04)
(7.500000, 2.265430e-04)
(7.468750, 2.268350e-04)
(7.437500, 2.268150e-04)
(7.406250, 2.262110e-04)
(7.375000, 2.254960e-04)
(7.343750, 2.258590e-04)
(7.312500, 2.255160e-04)
(7.281250, 2.251130e-04)
(7.250000, 2.242880e-04)
(7.218750, 2.242670e-04)
(7.187500, 2.236130e-04)
(7.156250, 2.235020e-04)
(7.125000, 2.230390e-04)
(7.093750, 2.231090e-04)
(7.062500, 2.229480e-04)
(7.031250, 2.227770e-04)
(7.000000, 2.228070e-04)
(6.968750, 2.226660e-04)
(6.937500, 2.225350e-04)
(6.906250, 2.225250e-04)
(6.875000, 2.224550e-04)
(6.843750, 2.218200e-04)
(6.812500, 2.213170e-04)
(6.781250, 2.214780e-04)
(6.750000, 2.207120e-04)
(6.718750, 2.204100e-04)
(6.687500, 2.199570e-04)
(6.656250, 2.191820e-04)
(6.625000, 2.187990e-04)
(6.593750, 2.184560e-04)
(6.562500, 2.182750e-04)
(6.531250, 2.188190e-04)
(6.500000, 2.185770e-04)
(6.468750, 2.186580e-04)
(6.437500, 2.182550e-04)
(6.406250, 2.179730e-04)
(6.375000, 2.173080e-04)
(6.343750, 2.169560e-04)
(6.312500, 2.168350e-04)
(6.281250, 2.162410e-04)
(6.250000, 2.160600e-04)
(6.218750, 2.158580e-04)
(6.187500, 2.151330e-04)
(6.156250, 2.151430e-04)
(6.125000, 2.149420e-04)
(6.093750, 2.149520e-04)
(6.062500, 2.146400e-04)
(6.031250, 2.148410e-04)
(6.000000, 2.145290e-04)
(5.968750, 2.143270e-04)
(5.937500, 2.144790e-04)
(5.906250, 2.142570e-04)
(5.875000, 2.140960e-04)
(5.843750, 2.139750e-04)
(5.812500, 2.135820e-04)
(5.781250, 2.130380e-04)
(5.750000, 2.126860e-04)
(5.718750, 2.117590e-04)
(5.687500, 2.115380e-04)
(5.656250, 2.107930e-04)
(5.625000, 2.102990e-04)
(5.593750, 2.100470e-04)
(5.562500, 2.097050e-04)
(5.531250, 2.097250e-04)
(5.500000, 2.098060e-04)
(5.468750, 2.092520e-04)
(5.437500, 2.097150e-04)
(5.406250, 2.091210e-04)
(5.375000, 2.088090e-04)
(5.343750, 2.087180e-04)
(5.312500, 2.082650e-04)
(5.281250, 2.081640e-04)
(5.250000, 2.081440e-04)
(5.218750, 2.073380e-04)
(5.187500, 2.068550e-04)
(5.156250, 2.072170e-04)
(5.125000, 2.071570e-04)
(5.093750, 2.068450e-04)
(5.062500, 2.070160e-04)
(5.031250, 2.065530e-04)
(5.000000, 2.067340e-04)
(4.968750, 2.066130e-04)
(4.937500, 2.064820e-04)
(4.906250, 2.062300e-04)
(4.875000, 2.064120e-04)
(4.843750, 2.062810e-04)
(4.812500, 2.056870e-04)
(4.781250, 2.053440e-04)
(4.750000, 2.049620e-04)
(4.718750, 2.044280e-04)
(4.687500, 2.041160e-04)
(4.656250, 2.035720e-04)
(4.625000, 2.031790e-04)
(4.593750, 2.023330e-04)
(4.562500, 2.026350e-04)
(4.531250, 2.024740e-04)
(4.500000, 2.024540e-04)
(4.468750, 2.021120e-04)
(4.437500, 2.019200e-04)
(4.406250, 2.013760e-04)
(4.375000, 2.014570e-04)
(4.343750, 2.009030e-04)
(4.312500, 2.006210e-04)
(4.281250, 2.003490e-04)
(4.250000, 1.997950e-04)
(4.218750, 1.997250e-04)
(4.187500, 1.992720e-04)
(4.156250, 1.986870e-04)
(4.125000, 1.987380e-04)
(4.093750, 1.982850e-04)
(4.062500, 1.986370e-04)
(4.031250, 1.986170e-04)
(4.000000, 1.981640e-04)
(3.968750, 1.983950e-04)
(3.937500, 1.984460e-04)
(3.906250, 1.985970e-04)
(3.875000, 1.984460e-04)
(3.843750, 1.978210e-04)
(3.812500, 1.976500e-04)
(3.781250, 1.974890e-04)
(3.750000, 1.967240e-04)
(3.718750, 1.963710e-04)
(3.687500, 1.961700e-04)
(3.656250, 1.952730e-04)
(3.625000, 1.949210e-04)
(3.593750, 1.946990e-04)
(3.562500, 1.945790e-04)
(3.531250, 1.946690e-04)
