[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.911e-05,	b1 = 5.846e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.903e-05,	b2 = 5.853e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.907e-05,	b_total = 5.850e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 7.319e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0252 steps
Cap(theor-act): [  6.013e-04 -   5.990e-04 =   2.301e-06] | Step Loss (=Cap/k_fit): [  0.079] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0356 +  0.0009 +  0.0194 =    +0.0560] @ 2026-02-16 18:51:55.117796 @ Step [4.4815e-01/5.6250e-01]
Cap(theor-act): [  6.013e-04 -   6.001e-04 =   1.193e-06] | Step Loss (=Cap/k_fit): [  0.041] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0185 +  0.0010 + -0.0076 =    +0.0118] @ 2026-02-16 18:51:55.822059 @ Step [4.5997e-01/5.6250e-01]
Cap(theor-act): [  6.031e-04 -   6.008e-04 =   2.305e-06] | Step Loss (=Cap/k_fit): [  0.079] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0357 +  0.0011 +  0.0076 =    +0.0444] @ 2026-02-16 18:51:56.531489 @ Step [5.0436e-01/6.2500e-01]
Cap(theor-act): [  6.031e-04 -   6.005e-04 =   2.608e-06] | Step Loss (=Cap/k_fit): [  0.090] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0404 +  0.0012 +  0.0021 =    +0.0436] @ 2026-02-16 18:51:57.222265 @ Step [5.4796e-01/6.2500e-01]
Cap(theor-act): [  6.050e-04 -   6.010e-04 =   3.921e-06] | Step Loss (=Cap/k_fit): [  0.135] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0607 +  0.0013 +  0.0090 =    +0.0710] @ 2026-02-16 18:51:57.945751 @ Step [6.1896e-01/6.8750e-01]
Cap(theor-act): [  6.050e-04 -   6.035e-04 =   1.504e-06] | Step Loss (=Cap/k_fit): [  0.052] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0233 +  0.0013 + -0.0166 =    +0.0080] @ 2026-02-16 18:51:58.653863 @ Step [6.2695e-01/6.8750e-01]
Cap(theor-act): [  6.068e-04 -   6.033e-04 =   3.522e-06] | Step Loss (=Cap/k_fit): [  0.121] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0545 +  0.0015 +  0.0139 =    +0.0699] @ 2026-02-16 18:51:59.370400 @ Step [6.9682e-01/7.5000e-01]
Cap(theor-act): [  6.068e-04 -   6.064e-04 =   3.994e-07] | Step Loss (=Cap/k_fit): [  0.014] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0062 +  0.0015 + -0.0215 =    -0.0138] @ 2026-02-16 18:52:00.092690 @ Step [6.8299e-01/7.5000e-01]
Cap(theor-act): [  6.086e-04 -   6.051e-04 =   3.526e-06] | Step Loss (=Cap/k_fit): [  0.121] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0546 +  0.0016 +  0.0215 =    +0.0777] @ 2026-02-16 18:52:00.832673 @ Step [7.6068e-01/8.1250e-01]
Cap(theor-act): [  6.086e-04 -   6.097e-04 =  -1.107e-06] | Step Loss (=Cap/k_fit): [ -0.038] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0171 +  0.0016 + -0.0319 =    -0.0475] @ 2026-02-16 18:52:01.550055 @ Step [7.1323e-01/8.1250e-01]
Cap(theor-act): [  6.104e-04 -   6.088e-04 =   1.616e-06] | Step Loss (=Cap/k_fit): [  0.056] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0250 +  0.0016 +  0.0187 =    +0.0454] @ 2026-02-16 18:52:02.289980 @ Step [7.5859e-01/8.7500e-01]
Cap(theor-act): [  6.104e-04 -   6.102e-04 =   2.062e-07] | Step Loss (=Cap/k_fit): [  0.007] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0032 +  0.0016 + -0.0097 =    -0.0049] @ 2026-02-16 18:52:03.000055 @ Step [7.5370e-01/8.7500e-01]
Cap(theor-act): [  6.122e-04 -   6.100e-04 =   2.225e-06] | Step Loss (=Cap/k_fit): [  0.077] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0344 +  0.0017 +  0.0139 =    +0.0500] @ 2026-02-16 18:52:03.828988 @ Step [8.0373e-01/9.3750e-01]
Cap(theor-act): [  6.122e-04 -   6.093e-04 =   2.930e-06] | Step Loss (=Cap/k_fit): [  0.101] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0454 +  0.0018 +  0.0049 =    +0.0520] @ 2026-02-16 18:52:07.520959 @ Step [8.5573e-01/9.3750e-01]
Cap(theor-act): [  6.140e-04 -   6.115e-04 =   2.531e-06] | Step Loss (=Cap/k_fit): [  0.087] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0392 +  0.0019 + -0.0027 =    +0.0383] @ 2026-02-16 18:52:08.241482 @ Step [8.9405e-01/1.0000e+00]
Cap(theor-act): [  6.140e-04 -   6.122e-04 =   1.826e-06] | Step Loss (=Cap/k_fit): [  0.063] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0283 +  0.0019 + -0.0049 =    +0.0254] @ 2026-02-16 18:52:08.952621 @ Step [9.1941e-01/1.0000e+00]
Cap(theor-act): [  6.159e-04 -   6.132e-04 =   2.636e-06] | Step Loss (=Cap/k_fit): [  0.091] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0408 +  0.0020 +  0.0056 =    +0.0484] @ 2026-02-16 18:52:09.654987 @ Step [9.6782e-01/1.0625e+00]
Cap(theor-act): [  6.159e-04 -   6.145e-04 =   1.327e-06] | Step Loss (=Cap/k_fit): [  0.046] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0205 +  0.0021 + -0.0090 =    +0.0136] @ 2026-02-16 18:52:10.357386 @ Step [9.8144e-01/1.0625e+00]
Cap(theor-act): [  6.177e-04 -   6.139e-04 =   3.748e-06] | Step Loss (=Cap/k_fit): [  0.129] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0580 +  0.0022 +  0.0167 =    +0.0769] @ 2026-02-16 18:52:11.058332 @ Step [1.0583e+00/1.1250e+00]
Cap(theor-act): [  6.177e-04 -   6.144e-04 =   3.244e-06] | Step Loss (=Cap/k_fit): [  0.112] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0502 +  0.0023 + -0.0035 =    +0.0491] @ 2026-02-16 18:52:11.745501 @ Step [1.1074e+00/1.1250e+00]
