[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 8.191e-06,	b1 = 1.697e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 8.212e-06,	b2 = 1.698e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 8.201e-06,	b_total = 1.698e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 1.766e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0215 steps
Cap(theor-act): [  1.698e-04 -   1.688e-04 =   9.763e-07] | Step Loss (=Cap/k_fit): [  0.119] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0238 +  0.0078 + -0.0007 =    +0.0309] @ 15:02:49 [PID ADJ        ] @ Step [5.8193e+00]
Cap(theor-act): [  1.698e-04 -   1.689e-04 =   8.053e-07] | Step Loss (=Cap/k_fit): [  0.098] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0196 +  0.0080 + -0.0001 =    +0.0275] @ 15:02:50 [PID ADJ        ] @ Step [5.8468e+00]
Cap(theor-act): [  1.698e-04 -   1.692e-04 =   5.133e-07] | Step Loss (=Cap/k_fit): [  0.063] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0125 +  0.0081 + -0.0002 =    +0.0205] @ 15:02:52 [PID ADJ        ] @ Step [5.8673e+00]
Cap(theor-act): [  1.698e-04 -   1.692e-04 =   5.333e-07] | Step Loss (=Cap/k_fit): [  0.065] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0130 +  0.0082 +  0.0000 =    +0.0213] @ 15:02:53 [PID ADJ        ] @ Step [5.8885e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.823e-07] | Step Loss (=Cap/k_fit): [  0.047] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0093 +  0.0082 + -0.0001 =    +0.0175] @ 15:02:54 [PID ADJ        ] @ Step [5.9060e+00]
Cap(theor-act): [  1.698e-04 -   1.693e-04 =   4.723e-07] | Step Loss (=Cap/k_fit): [  0.058] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0115 +  0.0084 +  0.0001 =    +0.0199] @ 15:02:55 [PID ADJ        ] @ Step [5.9259e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.623e-07] | Step Loss (=Cap/k_fit): [  0.044] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0088 +  0.0084 + -0.0001 =    +0.0171] @ 15:02:56 [PID ADJ        ] @ Step [5.9431e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   1.403e-07] | Step Loss (=Cap/k_fit): [  0.017] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0034 +  0.0084 + -0.0001 =    +0.0116] @ 15:02:57 [PID ADJ        ] @ Step [5.9547e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.723e-07] | Step Loss (=Cap/k_fit): [  0.045] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0091 +  0.0084 +  0.0001 =    +0.0176] @ 15:02:58 [PID ADJ        ] @ Step [5.9723e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   1.203e-07] | Step Loss (=Cap/k_fit): [  0.015] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0029 +  0.0084 + -0.0002 =    +0.0111] @ 15:03:00 [PID ADJ        ] @ Step [5.9834e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.523e-07] | Step Loss (=Cap/k_fit): [  0.043] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0086 +  0.0084 +  0.0001 =    +0.0171] @ 15:03:01 [PID ADJ        ] @ Step [6.0005e+00]
Cap(theor-act): [  1.698e-04 -   1.694e-04 =   3.523e-07] | Step Loss (=Cap/k_fit): [  0.043] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0086 +  0.0084 +  0.0000 =    +0.0170] @ 15:03:02 [PID ADJ        ] @ Step [6.0175e+00]
Cap(theor-act): [  1.698e-04 -   1.696e-04 =   1.703e-07] | Step Loss (=Cap/k_fit): [  0.021] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0042 +  0.0084 + -0.0001 =    +0.0124] @ 15:03:03 [PID ADJ        ] @ Step [6.0299e+00]
Cap(theor-act): [  1.698e-04 -   1.697e-04 =   1.003e-07] | Step Loss (=Cap/k_fit): [  0.012] | Gains(P,I,D): [2.00e-01, 2.00e-03, 5.00e-03] | PID_Out(P+I+D): [ 0.0024 +  0.0084 + -0.0000 =    +0.0108] @ 15:03:04 [PID ADJ        ] @ Step [6.0407e+00]
