[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.956e-05,	b1 = 5.865e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.935e-05,	b2 = 5.872e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.945e-05,	b_total = 5.868e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.907e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0201 steps
Cap(theor-act): [  6.973e-04 -   5.651e-04 =   1.322e-04] | Step Loss (=Cap/k_fit): [  4.488] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0224 +  0.0324 + -0.0006 =    +0.0542] @ 21:19:30 [PID ADJ        ] @ Step [5.3372e+00]
Cap(theor-act): [  6.973e-04 -   5.672e-04 =   1.301e-04] | Step Loss (=Cap/k_fit): [  4.416] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0221 +  0.0368 + -0.0007 =    +0.0581] @ 21:19:32 [PID ADJ        ] @ Step [5.3953e+00]
Cap(theor-act): [  6.973e-04 -   5.691e-04 =   1.282e-04] | Step Loss (=Cap/k_fit): [  4.351] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0218 +  0.0411 + -0.0006 =    +0.0622] @ 21:19:33 [PID ADJ        ] @ Step [5.4575e+00]
Cap(theor-act): [  6.973e-04 -   5.709e-04 =   1.263e-04] | Step Loss (=Cap/k_fit): [  4.290] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0214 +  0.0454 + -0.0006 =    +0.0663] @ 21:19:34 [PID ADJ        ] @ Step [5.5238e+00]
Cap(theor-act): [  6.973e-04 -   5.712e-04 =   1.260e-04] | Step Loss (=Cap/k_fit): [  4.280] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0214 +  0.0497 + -0.0001 =    +0.0710] @ 21:19:35 [PID ADJ        ] @ Step [5.5948e+00]
Cap(theor-act): [  6.973e-04 -   5.732e-04 =   1.240e-04] | Step Loss (=Cap/k_fit): [  4.211] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0211 +  0.0539 + -0.0007 =    +0.0743] @ 21:19:36 [PID ADJ        ] @ Step [5.6691e+00]
Cap(theor-act): [  6.973e-04 -   5.764e-04 =   1.209e-04] | Step Loss (=Cap/k_fit): [  4.105] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0205 +  0.0580 + -0.0011 =    +0.0775] @ 21:19:37 [PID ADJ        ] @ Step [5.7465e+00]
Cap(theor-act): [  6.973e-04 -   5.803e-04 =   1.170e-04] | Step Loss (=Cap/k_fit): [  3.972] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0199 +  0.0620 + -0.0013 =    +0.0805] @ 21:19:39 [PID ADJ        ] @ Step [5.8271e+00]
Cap(theor-act): [  6.973e-04 -   5.838e-04 =   1.135e-04] | Step Loss (=Cap/k_fit): [  3.852] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0193 +  0.0658 + -0.0012 =    +0.0839] @ 21:19:40 [PID ADJ        ] @ Step [5.9110e+00]
Cap(theor-act): [  6.973e-04 -   5.862e-04 =   1.110e-04] | Step Loss (=Cap/k_fit): [  3.770] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0189 +  0.0696 + -0.0008 =    +0.0876] @ 21:19:41 [PID ADJ        ] @ Step [5.9986e+00]
Cap(theor-act): [  6.973e-04 -   5.879e-04 =   1.093e-04] | Step Loss (=Cap/k_fit): [  3.712] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0186 +  0.0733 + -0.0006 =    +0.0913] @ 21:19:42 [PID ADJ        ] @ Step [6.0899e+00]
Cap(theor-act): [  6.973e-04 -   5.891e-04 =   1.082e-04] | Step Loss (=Cap/k_fit): [  3.674] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0184 +  0.0770 + -0.0004 =    +0.0950] @ 21:19:43 [PID ADJ        ] @ Step [6.1849e+00]
Cap(theor-act): [  6.973e-04 -   5.916e-04 =   1.057e-04] | Step Loss (=Cap/k_fit): [  3.589] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0179 +  0.0806 + -0.0009 =    +0.0977] @ 21:19:44 [PID ADJ        ] @ Step [6.2826e+00]
Cap(theor-act): [  6.973e-04 -   5.958e-04 =   1.015e-04] | Step Loss (=Cap/k_fit): [  3.445] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0172 +  0.0840 + -0.0014 =    +0.0998] @ 21:19:45 [PID ADJ        ] @ Step [6.3824e+00]
Cap(theor-act): [  6.973e-04 -   6.017e-04 =   9.553e-05] | Step Loss (=Cap/k_fit): [  3.244] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0162 +  0.0873 + -0.0020 =    +0.1015] @ 21:19:47 [PID ADJ        ] @ Step [6.4839e+00]
Cap(theor-act): [  6.973e-04 -   6.037e-04 =   9.362e-05] | Step Loss (=Cap/k_fit): [  3.179] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0159 +  0.0905 + -0.0006 =    +0.1057] @ 21:19:48 [PID ADJ        ] @ Step [6.5895e+00]
Cap(theor-act): [  6.973e-04 -   6.047e-04 =   9.261e-05] | Step Loss (=Cap/k_fit): [  3.144] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0157 +  0.0936 + -0.0003 =    +0.1090] @ 21:19:49 [PID ADJ        ] @ Step [6.6985e+00]
